route_distance_km
0.427
0.2448
0.0756
0.5661
0.6409
1.1734
0.2448
0.8729
0.3547
1.1682
0.8937999999999999
0.5055
1.0995
0.6662
0.7371
0.4675
0.2427
0.9916
0.591
0.481
0.7707
0.587
0.296
0.6483
0.578
1.0943
2.1633
1.4076
1.2807
0.6237999999999999
0.7767000000000001
2.1683000000000003
1.7375
1.2514
1.0464
1.373
1.5027
1.6838
0.6407999999999999
0.3996
0.8777999999999999
0.8779
0.6628999999999999
2.0018
2.0029
1.0586
0.7964
1.2455
0.9592
1.5637
1.5487
0.7741
0.526
1.86
0.8266
1.5527
0.7205
1.7375
0.77
2.2008
0.657
0.657
0.5601
1.4667
1.2207
1.5637
2.0018
1.2183
1.2828
1.0086
0.2455
1.8211
0.9606
1.6291
0.7926
1.3031
0.3601
0.4607
0.3388
1.0829000000000002
2.5798
1.736
1.3725
1.7518
1.3253
1.3827
2.5798
1.7698
1.0374
2.494
1.4435
2.4674
0.734
2.2616
2.1441
1.7208
1.8447
1.8276
2.215
1.7225
2.2236
2.3025
2.2578
2.2578
2.5798
1.4929
1.736
1.7578
0.9646
2.0775
1.2425
1.6104
2.8941
1.6024
1.5466
1.606
0.9327
1.2253
0.8669
1.2253
1.2253
1.0176
1.2253
1.087
1.3951
0.767
0.7928
0.8757
0.6266
1.3789
0.8669
0.8322
0.6724
0.509
0.9205
0.5038
0.9624
1.2459
0.9193
0.8009
0.6967000000000001
0.6912999999999999
1.2459
0.6724
0.8836
1.0131
0.8322
0.8475
0.8475
0.729
0.7473
0.5695
0.7511
1.0131
1.0054
0.6667000000000001
0.9466
0.7117
1.014
0.3791
0.7903
0.9009
0.5271
0.5695
0.8322
0.7797999999999999
0.4318999999999999
0.7497
0.7903
1.0054
0.5529
0.6183
0.8669
1.1348
0.9655
1.2657
0.8944
0.7208
0.5217
0.9977
1.0215
0.5931000000000001
0.9619
0.7603
0.6471
0.7864
1.4998
2.1322
1.5746
2.3803
2.5896
1.6566
2.1793
2.3803
2.1793
2.5144
2.3803
1.4403
1.6566
2.4646
2.1322
1.4144
1.5746
1.5746
1.6566
1.7497
1.3784
1.5014
1.5618
1.9855
1.7731
1.3878
1.7198
1.5169
1.1862
1.1995
1.2124
1.8932
1.2434
1.1823
1.4192
0.985
1.0723
1.1862
1.4819
1.4192
1.0729000000000002
0.7805
1.1301
1.5169
1.2551
1.2124
1.0137
1.7398
1.3003
0.6253
0.9269
1.1862
1.8286
1.8286
1.557
0.7177
2.0085
0.2065
1.2551
1.4779
1.2551
1.7585
1.7785
1.3003
1.804
1.8286
0.8921
0.705
1.0083
1.6194000000000002
